18:14:02 INFO  manager.MyListener - Start searching element by locator-->By.xpath: .//option[@value = "Petrol"]
18:14:02 INFO  manager.MyListener - The element with locator-->By.xpath: .//option[@value = "Petrol"]was found
18:14:02 INFO  manager.MyListener - Start searching element by locator-->By.id: gear
18:14:02 INFO  manager.MyListener - The element with locator-->By.id: gearwas found
18:14:02 INFO  manager.MyListener - Start searching element by locator-->By.xpath: .//option[@value = "AT"]
18:14:02 INFO  manager.MyListener - The element with locator-->By.xpath: .//option[@value = "AT"]was found
18:14:03 INFO  manager.MyListener - Start searching element by locator-->By.id: wheelsDrive
18:14:03 INFO  manager.MyListener - The element with locator-->By.id: wheelsDrivewas found
18:14:03 INFO  manager.MyListener - Start searching element by locator-->By.xpath: .//option[@value = "AWD"]
18:14:03 INFO  manager.MyListener - The element with locator-->By.xpath: .//option[@value = "AWD"]was found
18:14:03 INFO  manager.MyListener - Start searching element by locator-->By.id: doors
18:14:03 INFO  manager.MyListener - The element with locator-->By.id: doorswas found
18:14:03 INFO  manager.MyListener - Start searching element by locator-->By.id: seats
18:14:03 INFO  manager.MyListener - The element with locator-->By.id: seatswas found
18:14:04 INFO  manager.MyListener - Start searching element by locator-->By.id: class
18:14:04 INFO  manager.MyListener - The element with locator-->By.id: classwas found
18:14:04 INFO  manager.MyListener - Start searching element by locator-->By.id: fuelConsumption
18:14:04 INFO  manager.MyListener - The element with locator-->By.id: fuelConsumptionwas found
18:14:04 INFO  manager.MyListener - Start searching element by locator-->By.id: serialNumber
18:14:04 INFO  manager.MyListener - The element with locator-->By.id: serialNumberwas found
18:14:04 INFO  manager.MyListener - Start searching element by locator-->By.id: price
18:14:04 INFO  manager.MyListener - The element with locator-->By.id: pricewas found
18:14:05 INFO  manager.MyListener - Start searching element by locator-->By.id: distance
18:14:05 INFO  manager.MyListener - The element with locator-->By.id: distancewas found
18:14:05 INFO  manager.MyListener - Start searching element by locator-->By.cssSelector: .feature-input
18:14:05 INFO  manager.MyListener - The element with locator-->By.cssSelector: .feature-inputwas found
18:14:05 INFO  manager.MyListener - Start searching element by locator-->By.id: about
18:14:05 INFO  manager.MyListener - The element with locator-->By.id: aboutwas found
18:14:06 INFO  manager.MyListener - Start searching element by locator-->By.id: photos
18:14:06 INFO  manager.MyListener - The element with locator-->By.id: photoswas found
18:14:06 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //button[@type='submit']
18:14:06 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
18:14:07 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div//h2[contains(.,'successful')]
18:14:09 INFO  manager.MyListener - The element with locator-->By.xpath: //div//h2[contains(.,'successful')]was found
18:14:09 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //div//button[text()='Add another car']
18:14:09 INFO  manager.MyListener - The element with locator-->By.xpath: //div//button[text()='Add another car']was found
18:14:09 INFO  manager.MyListener - Start searching element by locator-->By.xpath: //a[text()=' Logout ']
18:14:09 INFO  manager.MyListener - The element with locator-->By.xpath: //a[text()=' Logout ']was found
18:14:09 INFO  tests.TestBase - The end of test--->addNewCarTestPositive2
